test 138: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47180
test 139: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47354
test 140: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46937
test 141: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47225
test 142: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45692
test 143: no_error_count: 120804, error_count: 4, ARE: 0.6457728122683193, counter_report: 45883
test 144: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46253
test 145: no_error_count: 120801, error_count: 7, ARE: 0.6124793178030145, counter_report: 46060
test 146: no_error_count: 120784, error_count: 24, ARE: 0.9793112864284925, counter_report: 46836
test 147: no_error_count: 120771, error_count: 37, ARE: 0.8438516481591564, counter_report: 47120
test 148: no_error_count: 120800, error_count: 8, ARE: 1.0876906651377658, counter_report: 46088
test 149: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46529
test 150: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47111
test 151: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47492
test 152: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46655
test 153: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46444
test 154: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46988
test 155: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46413
test 156: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46385
test 157: no_error_count: 120672, error_count: 136, ARE: 1.4617718256180368, counter_report: 45988
test 158: no_error_count: 120800, error_count: 8, ARE: 1.2289613013704659, counter_report: 46228
test 159: no_error_count: 120784, error_count: 24, ARE: 1.5765958513208325, counter_report: 45412
test 160: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47175
test 161: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47245
test 162: no_error_count: 120776, error_count: 32, ARE: 1.0799185179179749, counter_report: 45419
test 163: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47106
test 164: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46591
test 165: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47568
test 166: no_error_count: 120800, error_count: 8, ARE: 1.3056143166494827, counter_report: 46456
test 167: no_error_count: 120774, error_count: 34, ARE: 0.9494914403728124, counter_report: 45811
test 168: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46357
test 169: no_error_count: 120792, error_count: 16, ARE: 1.2420967028937524, counter_report: 46853
test 170: no_error_count: 120760, error_count: 48, ARE: 1.4012185138497504, counter_report: 46504
test 171: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45464
test 172: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46190
test 173: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46386
test 174: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46908
test 175: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47231
test 176: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47505
test 177: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47155
test 178: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45097
test 179: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45629
test 180: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47234
test 181: no_error_count: 120802, error_count: 6, ARE: 0.7578664003830935, counter_report: 46192
test 182: no_error_count: 120795, error_count: 13, ARE: 1.0267277206532497, counter_report: 44978
test 183: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46744
test 184: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47666
test 185: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47462
test 186: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45782
test 187: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47111
test 188: no_error_count: 120800, error_count: 8, ARE: 0.8821038707557396, counter_report: 45733
test 189: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47368
test 190: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47302
test 191: no_error_count: 120674, error_count: 134, ARE: 1.2736911229174814, counter_report: 45588
test 192: no_error_count: 120804, error_count: 4, ARE: 0.7962759674492714, counter_report: 45767
test 193: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47465
test 194: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47062
test 195: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45267
test 196: no_error_count: 120744, error_count: 64, ARE: 1.1087164205092614, counter_report: 46318
test 197: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46525
test 198: no_error_count: 120784, error_count: 24, ARE: 0.8687267459564092, counter_report: 46112
test 199: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47403
test 200: no_error_count: 120801, error_count: 7, ARE: 0.7286841602986424, counter_report: 46993
test 201: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45810
test 202: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45678
test 203: no_error_count: 120800, error_count: 8, ARE: 0.9029646456643128, counter_report: 46814
test 204: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46601
test 205: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45968
test 206: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46866
test 207: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46724
test 208: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46700
test 209: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47087
test 210: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47081
test 211: no_error_count: 120752, error_count: 56, ARE: 1.0998659701933258, counter_report: 46629
test 212: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47343
test 213: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47300
test 214: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45988
test 215: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47073
test 216: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46657
test 217: no_error_count: 120803, error_count: 5, ARE: 0.735025689711184, counter_report: 46500
test 218: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47092
test 219: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46953
test 220: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47564
test 221: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46810
test 222: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46541
test 223: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47235
test 224: no_error_count: 120792, error_count: 16, ARE: 1.1480633784769603, counter_report: 46396
test 225: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46526
test 226: no_error_count: 120784, error_count: 24, ARE: 1.0241955305515857, counter_report: 46060
test 227: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46643
test 228: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46732
test 229: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46868
test 230: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46767
test 231: no_error_count: 120797, error_count: 11, ARE: 0.6979546666105383, counter_report: 44795
test 232: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47147
test 233: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46183
test 234: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46440
test 235: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46846
test 236: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46286
test 237: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47555
test 238: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46418
test 239: no_error_count: 120776, error_count: 32, ARE: 1.3180699179445485, counter_report: 46580
test 240: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46872
test 241: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46657
test 242: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47237
test 243: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46168
test 244: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47001
test 245: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46188
test 246: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 46925
test 247: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45919
test 248: no_error_count: 120807, error_count: 1, ARE: 0, counter_report: 47173
test 249: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 45722
test 250: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47423
test 251: no_error_count: 120808, error_count: 0, ARE: 0, counter_report: 47088
