test 79: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45680
test 80: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45361
test 81: no_error_count: 12162, error_count: 32, ARE: 1.048818350633831, counter_report: 45107
test 82: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46319
test 83: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 44779
test 84: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46390
test 85: no_error_count: 11929, error_count: 265, ARE: 1.144026276547379, counter_report: 44417
test 86: no_error_count: 12178, error_count: 16, ARE: 1.2151470565860867, counter_report: 44898
test 87: no_error_count: 12150, error_count: 44, ARE: 1.463290804773716, counter_report: 45365
test 88: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46263
test 89: no_error_count: 12170, error_count: 24, ARE: 0.8908429235600436, counter_report: 46216
test 90: no_error_count: 12110, error_count: 84, ARE: 1.2789165896408161, counter_report: 45307
test 91: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45549
test 92: no_error_count: 12186, error_count: 8, ARE: 1.14363774523349, counter_report: 45685
test 93: no_error_count: 12186, error_count: 8, ARE: 1.2080171861892357, counter_report: 45592
test 94: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45707
test 95: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 44870
test 96: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45809
test 97: no_error_count: 12178, error_count: 16, ARE: 0.9818466135335348, counter_report: 45197
test 98: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45417
test 99: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46020
test 100: no_error_count: 12057, error_count: 137, ARE: 1.4968063526918096, counter_report: 44745
test 101: no_error_count: 12170, error_count: 24, ARE: 1.195671555444853, counter_report: 43814
test 102: no_error_count: 12146, error_count: 48, ARE: 1.320716433793055, counter_report: 45661
test 103: no_error_count: 12190, error_count: 4, ARE: 0.5662240906171542, counter_report: 45474
test 104: no_error_count: 12154, error_count: 40, ARE: 1.0145033255127789, counter_report: 45119
test 105: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45448
test 106: no_error_count: 12186, error_count: 8, ARE: 0.939151875433161, counter_report: 45132
test 107: no_error_count: 12178, error_count: 16, ARE: 0.998485331899226, counter_report: 45272
test 108: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46372
test 109: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45875
test 110: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45926
test 111: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 45915
test 112: no_error_count: 12122, error_count: 72, ARE: 0.9818563672696258, counter_report: 45487
test 113: no_error_count: 11989, error_count: 205, ARE: 1.497269896629172, counter_report: 44536
test 114: no_error_count: 12194, error_count: 0, ARE: 0, counter_report: 46267
